category,cost,cuisine,featured,location,names,rating,reviews,urls
Café,Rs. 750,"Cafe,American,Desserts,Sandwich,European","Great Coffee,Great Breakfasts","Linking Road, Bandra West","Bombay Coffee House
                                    ","4.2,4.0",,https://www.zomato.com/mumbai/bombay-coffee-house-linking-road-bandra-west
Casual Dining,"Rs. 2,200","Modern Indian,North Indian","Best of Mumbai,
                                                                                        30% off on all orders above ₹300
                                        ","Pali Hill, Bandra West","Veranda
                                    ","4.5,3.7",,https://www.zomato.com/mumbai/veranda-pali-hill-bandra-west
Casual Dining,Rs. 800,"North Indian,Malwani,Chinese,Seafood",,Dombivali East,"Hotel Shalu
                                    ",4.1,(674 Reviews),https://www.zomato.com/mumbai/hotel-shalu-dombivali-east
Café,Rs. 600,"Cafe,North Indian,Italian,Fast Food,Chinese,Street Food,Beverages","
                                                                                        30% off on all orders above ₹399
                                        ",Lower Parel,"Dhaba Cafe
                                    ","4.0,4.1",,https://www.zomato.com/mumbai/dhaba-cafe-lower-parel
Casual Dining,"Rs. 1,500","Mughlai,Seafood,Chinese,North Indian,Asian,Continental,Fast Food",,Marine Lines,"Pancharatna
                                    ","4.0,4.2",,https://www.zomato.com/mumbai/pancharatna-marine-lines
Casual Dining,"Rs. 1,000","North Indian,South Indian,Fast Food,Chinese",,"Hotel Krishna Palace, Grant Road","Sudama - All Veg
                                    ","4.4,3.7",,https://www.zomato.com/mumbai/sudama-all-veg-grant-road
Quick Bites,Rs. 400,Chinese,,Mira Road,"Nikku's Chinese
                                    ","3.8,4.3",,https://www.zomato.com/mumbai/nikkus-chinese-3-mira-road
Casual Dining,Rs. 800,"Salad,Continental,Fast Food,Beverages",,Juhu,"La Sanazaar Cafe
                                    ","3.9,4.3",,https://www.zomato.com/mumbai/la-sanazaar-cafe-1-juhu
Sweet Shop,Rs. 200,"Mithai,South Indian","
                                                                                        10% off on all orders
                                        ",Bhayandar,"Maharaja Sweets
                                    ",4.1,(219 Reviews),https://www.zomato.com/mumbai/maharaja-sweets-bhayandar
Casual Dining,"Rs. 1,400","Italian,Pizza,Mexican,Fast Food,Desserts",,Azad Nagar,"The Playlist Pizzeria Music Bar & Cafe
                                    ","4.2,4.0",,https://www.zomato.com/mumbai/the-playlist-pizzeria-music-bar-cafe-azad-nagar
Casual Dining,Rs. 800,"North Indian,Chinese",,Mulund East,"Bansuri
                                    ","3.9,4.2",,https://www.zomato.com/mumbai/bansuri-mulund-east
"Bar,Casual Dining","Rs. 1,600","North Indian,Chinese,Mughlai","
                                                                                        25% off on all orders above ₹300
                                        ","Naupada, Thane West","The Shelter
                                    ","3.9,4.2",,https://www.zomato.com/mumbai/the-shelter-naupada-thane-west-thane
"Casual Dining,Bar","Rs. 2,000","Sushi,Japanese,Chinese,Asian",Pan-Asian Delicacies,Mahalaxmi,"Keiba
                                    ","4.3,3.8",,https://www.zomato.com/mumbai/keiba-mahalaxmi
Bar,"Rs. 1,200","Bar Food,Chinese,American",Where's The Party?,"Kasarvadavli, Thane West","Thug-Lyf
                                    ",4.1,(817 Reviews),https://www.zomato.com/mumbai/thug-lyf-kasarvadavli-thane-west-thane
"Casual Dining,Bar","Rs. 1,200","North Indian,Continental",,Juhu,"The Terrace
                                    ",4.1,(609 Reviews),https://www.zomato.com/mumbai/the-terrace-juhu
